word,count
la,1131201
de,538726
kaj,405750
en,270669
est_i,252535
al,175182
mi,149268
ne,141823
kiu,130081
li,121481
por,112062
ke,111441
pri,92462
tiu,90918
sed,74336
vi,72740
ili,72719
ĝi,67035
kun,66680
si_a,65309
kiel,59181
ni,56211
el,55851
tio,55670
pli,49601
pov_i,48383
oni,46296
ŝi,43419
per,40944
ĉiu,40224
aŭ,37631
dir_i,36311
sur,35458
nur,35275
mi_a,35013
ankaŭ,34969
hav_i,33914
da,33852
ali_a,33581
ĉu,29811
se,29536
li_a,29260
dum,29069
kiam,28706
ĉi,28663
ĉar,28193
unu,27514
plej,27333
esperant_o,26210
si,25990
jar_o,25925
kio,25881
lingv_o,25682
pro,25086
ni_a,24408
post,23578
dev_i,23522
far_i,23246
a,22887
ol,22731
ĉe,22487
jam,22416
grand_a,22292
nun,22008
tiel,21865
inter,21804
eĉ,21760
vi_a,21719
hom_o,21343
tre,20887
land_o,20537
laŭ,19923
tamen,18970
du,18094
antaŭ,17922
nov_a,17820
ĝis,16852
tie,16528
do,16474
okaz_i,15167
mult_a,14989
vid_i,14748
kelk_a,14652
vol_i,14634
kontraŭ,14611
unu_a,14578
tut_e,14402
ĝi_a,14388
ili_a,14387
tia,14264
mem,14027
je,13817
inter_naci_a,13770
tut_a,13626
ven_i,13543
sci_i,13454
kie,13198
ankoraŭ,13057
iu,13046
tiam,12680
afer_o,12654
s_r_o,12640
mond_o,12584
ja,12251
temp_o,12103
don_i,11663
tag_o,11507
bon_a,11408
post_e,11279
iom,11156
vort_o,11155
ĉio,10946
parol_i,10944
sen,10672
ir_i,10610
ebl_e,10587
rest_i,10527
bon_e,10426
ŝi_a,10240
far_iĝ_i,10050
ĉiam,10046
uea,9904
viv_o,9890
urb_o,9888
esperant_ist_o,9861
jen,9857
trov_i,9684
ricev_i,9360
aper_i,9030
mult_e,8746
neniu,8453
di_o,8336
grav_a,8308
respond_i,8276
part_o,8233
plu,8183
sub,8142
eŭrop_a,8139
divers_a,7991
prezid_ant_o,7948
tri,7902
libr_o,7894
kongres_o,7858
io,7832
man_o,7778
ekzist_i,7746
labor_o,7671
tuj,7658
sam_a,7539
kies,7502
nom_o,7467
oft_e,7400
infan_o,7372
last_a,7317
montr_i,7292
politik_a,7261
dom_o,7251
,7245
neniam,7218
fin_e,7168
lok_o,7148
kvankam,7129
nek,7126
etern_ul_o,7123
sinjor_o,7122
preskaŭ,7115
komenc_i,7096
popol_o,7090
rigard_i,7054
